matrix_name,rows,cols,nonzeros,num_threads,time_serial,time_serial_hll,time_parallel,time_parallel_simd,time_parallel_hll,time_parallel_hll_simd,stddev_parallel_csr,stddev_parallel_hll,stddev_parallel_simd,stddev_parallel_simd_hll,min_value_csr,min_value_hll,min_value_csr_simd,min_value_hll_simd,error_csr,error_hll,error_csr_simd,error_hll_simd,flops_serial,flops_serial_hll,flops_parallel,flops_parallel_simd,flops_parallel_hll,flops_parallel_hll_simd,speedup_parallel,speedup_simd,speedup_hll,speedup_hll_simd,efficiency_parallel,efficiency_simd,efficiency_hll,efficiency_hll_simd
roadNet-PA.mtx,1090920,1090920,3083796,2,0.023836036619583,0.030402081699944,0.012525558167774,0.012269909253442,0.014849702268839,0.014955225807468,0.000504822531794,0.000730891234972,0.000050282784378,0.000681254781261,0.012238630093634,0.014546656981111,0.012075263075531,0.014759317971766,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,492400571.486537873744965,502659952.295071601867676,415334387.743401646614075,412403803.152229547500610,1.902991970522180,1.942641638763280,2.047319276140681,2.032873464522563,0.951495985261090,0.971320819381640,1.023659638070341,1.016436732261282
roadNet-PA.mtx,1090920,1090920,3083796,4,0.023836036619583,0.030402081699944,0.006645462980592,0.006650141146230,0.007837165774483,0.008013976409443,0.000300957223734,0.000213596345462,0.000242526113163,0.000650943810181,0.006216973066330,0.007395009975880,0.006179533898830,0.007523726671934,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,928090641.391343474388123,927437758.745372653007507,786967148.261773586273193,769604461.616899251937866,3.586813543194259,3.584290332408323,3.879218913414875,3.793632542282025,0.896703385798565,0.896072583102081,0.969804728353719,0.948408135570506
roadNet-PA.mtx,1090920,1090920,3083796,8,0.023836036619583,0.030402081699944,0.003709153394754,0.003395101413327,0.004153708731265,0.004116598600032,0.000207797907207,0.000784844894840,0.000045299855159,0.000058517832780,0.003301860298961,0.004012054298073,0.003341987263411,0.004070696886629,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,1662803163.849484443664551,1816614954.649155616760254,1484839789.939006328582764,1498225258.093607902526855,6.426274160916479,7.020714175435052,7.319261813208972,7.385243171318942,0.803284270114560,0.877589271929382,0.914907726651122,0.923155396414868
roadNet-PA.mtx,1090920,1090920,3083796,16,0.023836036619583,0.030402081699944,0.003215802166807,0.002042822422166,0.003893033361160,0.003090672984131,0.000217753154466,0.000432695442152,0.000147413840666,0.000629937144552,0.002924680244178,0.003660778980702,0.001892853062600,0.002326384186745,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,1917901562.372480630874634,3019152292.964193820953369,1584263844.623605966567993,1995549846.802698135375977,7.412158890125411,11.668188267835040,7.809355553758100,9.836719011051002,0.463259930632838,0.729261766739690,0.488084722109881,0.614794938190688
roadNet-PA.mtx,1090920,1090920,3083796,32,0.023836036619583,0.030402081699944,0.001804297520338,0.001878702841503,0.002227761047451,0.002259127766286,0.000153023588005,0.000174624392397,0.000135662912840,0.000153431826271,0.001645586919039,0.002043591346592,0.001597976777703,0.002037545666099,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,3418278820.692994117736816,3282899170.507253170013428,2768515953.296075344085693,2730076665.889202117919922,13.210701866463285,12.687496975579828,13.646922202328758,13.457442360563709,0.412834433326978,0.396484280486870,0.426466318822774,0.420545073767616
roadNet-PA.mtx,1090920,1090920,3083796,40,0.023836036619583,0.030402081699944,0.001693051661316,0.001730361002448,0.002023213856706,0.002024177285401,0.000073093315267,0.000106775384119,0.000311427931988,0.000645651230230,0.001567482016981,0.001803851686418,0.001504149753600,0.001730214804411,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,258750735.217985928058624,202867424.042590796947479,3642884703.947541713714600,3564338303.552393913269043,3048413285.405215740203857,3046962360.698961257934570,14.078741460883482,13.775181355715176,15.026627857044312,15.019475773790422,0.351968536522087,0.344379533892879,0.375665696426108,0.375486894344761
Cube_Coup_dt0.mtx,2164760,2164760,127206144,2,0.474055482221669,0.730588735914544,0.229913200849765,0.206158903746032,0.342797574327376,0.340192044114596,0.006823797018680,0.010229877992756,0.003978354287916,0.009115688882610,0.219124827068299,0.331403671763837,0.199993582908064,0.330910822842270,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,536671966.765772640705109,348229141.093352735042572,1106557983.881245374679565,1234059181.423524856567383,742164784.856478571891785,747849023.518902540206909,2.061888923600506,2.299466448490914,2.131254100464614,2.147577371528537,1.030944461800253,1.149733224245457,1.065627050232307,1.073788685764268
Cube_Coup_dt0.mtx,2164760,2164760,127206144,4,0.474055482221669,0.730588735914544,0.120242118306066,0.109164655110554,0.191542760743514,0.183481546471778,0.008032443581149,0.033237190086356,0.006045819300909,0.015117529552825,0.116909025236964,0.174699059221894,0.106564372777939,0.173984233755618,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,536671966.765772640705109,348229141.093352735042572,2115833383.377491950988770,2330537184.790722846984863,1328227112.381819725036621,1386582426.909795522689819,3.942507741047960,4.342572985199117,3.814233088625258,3.981810432510824,0.985626935261990,1.085643246299779,0.953558272156315,0.995452608127706
Cube_Coup_dt0.mtx,2164760,2164760,127206144,8,0.474055482221669,0.730588735914544,0.062692808546126,0.054918601555064,0.099919382100435,0.102856686833854,0.005850295542810,0.017381001399403,0.000762267464717,0.010350824891833,0.060512960888445,0.089057538192719,0.053699103184044,0.089715470094234,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,536671966.765772640705109,348229141.093352735042572,4058077695.032877445220947,4632533982.951410293579102,2546175553.250276088714600,2473463766.249409198760986,7.561560778903143,8.631965650952759,7.311781964185764,7.102977535088963,0.945195097362893,1.078995706369095,0.913972745523220,0.887872191886120
Cube_Coup_dt0.mtx,2164760,2164760,127206144,16,0.474055482221669,0.730588735914544,0.055430198171617,0.033245822213786,0.054740295637595,0.054710559424405,0.012214628753661,0.000934848209287,0.000708932031732,0.001214854640259,0.034955962095410,0.053485210984945,0.031896830070764,0.053396830335259,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,536671966.765772640705109,348229141.093352735042572,4589777709.477337837219238,7652458897.361893653869629,4647623565.724267959594727,4650149636.132452011108398,8.552296362967139,14.259099359109557,13.346452141058293,13.353706187633065,0.534518522685446,0.891193709944347,0.834153258816143,0.834606636727067
