matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr, time_row_hll,time_warp_hll, time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr, flops_row_hll,flops_warp_hll, flops_warp_shared_hll
thermomech_TK.mtx,102158,102158,711558,0.004361267816275,0.006523255743086,0.000057333760124,0.000134691840794,0.000040917120059,0.000136519680382,0.000266030720668,326307867.333719432353973,218160387.396782249212265,24821605925.242984771728516,10565717950.000244140625000,34780453706.107109069824219,10424255287.007074356079102,5349442336.685909271240234
thermal1.mtx,82654,82654,574458,0.003094534398988,0.004654513923451,0.000043729919853,0.000110431359208,0.000034054399730,0.000133162881830,0.000256181120058,371272654.256410598754883,246839094.026833027601242,26272995785.589969635009766,10403892592.129281997680664,33737667059.505443572998047,8627899788.686435699462891,4484780142.040600776672363
af23560.mtx,23560,23560,484256,0.001945894400124,0.003001634553075,0.000031276799964,0.000043491840042,0.000021294720100,0.000054146560433,0.000127486720157,497720739.593334615230560,322661530.867529630661011,30965827741.839061737060547,22268820980.111507415771484,45481320978.136039733886719,17886860998.327171325683594,7596963815.563174247741699
cage4.mtx,9,9,49,0.000001549440003,0.000001701119995,0.000005393280007,0.000005486719992,0.000005630719997,0.000005507200030,0.000006165120021,63248657.451103299856186,57609104.751382440328598,18170760.625322666019201,17861308.784786216914654,17404523.763132341206074,17794886.595298826694489,15895878.695337325334549
olm1000.mtx,1000,1000,3996,0.000021175679831,0.000039779839572,0.000005048959993,0.000006066560036,0.000005077119959,0.000006298879998,0.000007132800047,377414093.142109215259552,200905787.606863021850586,1582900243.172924041748047,1317385792.408482074737549,1574120774.238862037658691,1268796992.841320514678955,1120457596.963532209396362
rdist2.mtx,3198,3198,56934,0.000239265280252,0.001149511677213,0.000012116480029,0.000010549760082,0.000012661119963,0.000017632000054,0.000033166720095,475906909.185233950614929,99057714.903838604688644,9397778870.105480194091797,10793420809.471103668212891,8993517187.471584320068359,6458030833.322721481323242,3433200499.559065818786621
nlpkkt80.mtx,1062400,1062400,28704672,0.109751187115908,0.187904704213142,0.002591651193798,0.001600147194695,0.000987294716761,0.002445631362498,0.005735791325569,523086314.678038835525513,305523718.740324556827545,22151647620.402637481689453,35877539385.339118957519531,58148132493.172798156738281,23474242635.392883300781250,10008966634.486719131469727
lung2.mtx,109460,109460,492564,0.002338248323649,0.005213092500344,0.000033356159547,0.000170478078944,0.000037639680522,0.000171427840251,0.000318120960146,421310256.073473036289215,188971901.023242712020874,29533615781.176525115966797,5778619785.613473892211914,26172591964.944206237792969,5746604510.447201728820801,3096708873.088073253631592
amazon0302.mtx,262111,262111,1234877,0.009045788161457,0.012590211275965,0.000082485120511,0.000399527040427,0.000065480959602,0.000398220156785,0.000683164164657,273028060.785618841648102,196164619.152565091848373,29941812350.024360656738281,6181694228.662895202636719,37717132049.113540649414062,6201981386.223001480102539,3615169131.772043228149414
adder_dcop_32.mtx,1813,1813,11246,0.000062531840085,0.000310880640754,0.000068759679270,0.000009870080066,0.000077655039204,0.000015925120060,0.000292901120847,359688759.667459368705750,72349310.479463011026382,327110309.975930035114288,2278806235.498334407806396,289639928.465761423110962,1412359838.724703311920166,76790419.698468610644341
FEM_3D_thermal1.mtx,17880,17880,430740,0.001730835835915,0.002976232329383,0.000025725440137,0.000035336319997,0.000021568639968,0.000048353279999,0.000116262400261,497724846.068115115165710,289453209.514208197593689,33487473700.001033782958984,24379448682.329864501953125,39941322275.435585021972656,17816371506.089458465576172,7409790250.905133247375488
raefsky2.mtx,3242,3242,294276,0.001151084164158,0.001928319996223,0.000031902720220,0.000015343360010,0.000017653759751,0.000025528320075,0.000093885439564,511302316.829948902130127,305214902.688786804676056,18448332804.670810699462891,38358742780.042037963867188,33338620685.170204162597656,23054866057.458274841308594,6268831490.061073303222656
thermal2.mtx,1228045,1228045,8580313,0.050811625793576,0.082313123196363,0.000574635521043,0.001829272324685,0.000433093761094,0.001839176972862,0.003657443197444,337730307.424437880516052,208479830.841337174177170,29863496723.713886260986328,9381121535.829820632934570,39623350742.008941650390625,9330600726.961425781250000,4691973346.843035697937012
mhda416.mtx,416,416,8562,0.000036343039756,0.000085848960152,0.000011357440071,0.000006373759961,0.000008895999981,0.000007000959968,0.000013283199860,471176877.750427663326263,199466597.727089077234268,1507734127.824815034866333,2686640241.274119377136230,1924910076.015193462371826,2445950280.987627029418945,1289147207.047076702117920
