matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr, time_row_hll,time_warp_hll, time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr, flops_row_hll,flops_warp_hll, flops_warp_shared_hll
roadNet-PA.mtx,1090920,1090920,3083796,0.023910073786974,0.035200000330806,0.000197197441885,0.001623397760559,0.000211781760154,0.001622015361208,0.002645726716146,257949517.636372298002243,175215680.171523869037628,31276227222.073089599609375,3799187204.666794300079346,29122394655.329189300537109,3802425148.060798168182373,2331152330.420791149139404
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.475472739338875,0.861179978847504,0.015719936750829,0.004339118730277,0.004152310360223,0.008293918780982,0.025674835108221,535072291.113366007804871,295422901.424710094928741,16184052902.539819717407227,58632248577.297920227050781,61270055927.691642761230469,30674557433.978443145751953,9909013511.776836395263672
mcfe.mtx,765,765,24382,0.000106146559701,0.000258055680315,0.000017023999953,0.000005900160049,0.000012611839975,0.000007579519970,0.000023576959975,459402548.111055195331573,188966969.998387426137924,2864426699.573425292968750,8264860544.820343971252441,3866525431.438648700714111,6433652816.123663902282715,2068290400.965029954910278
mac_econ_fwd500.mtx,206500,206500,1273389,0.005778254093602,0.030008773803711,0.000090277759591,0.000321147520444,0.000166931198619,0.000407559680752,0.000753969920333,440752164.710063576698303,84867779.558692291378975,28210469683.062221527099609,7930243386.205036163330078,15256453084.094503402709961,6248846783.121472358703613,3377824408.264961719512939
cant.mtx,62451,62451,4007383,0.015271475911140,0.029172505699098,0.000512759038247,0.000162437758991,0.000151808641967,0.000262103683199,0.001092129920144,524819345.990866541862488,274736976.064684867858887,15630667432.792474746704102,49340535413.724861145019531,52795189365.589889526367188,30578608824.512039184570312,7338656191.147953033447266
west2021.mtx,2021,2021,7353,0.000037598720228,0.000134243201173,0.000006044160018,0.000007518719995,0.000005985280022,0.000008266239984,0.000011553920085,391130333.981775879859924,109547447.255873098969460,2433092432.372569084167480,1955918030.018286705017090,2457027899.319683074951172,1779043438.020629405975342,1272814758.249980449676514
cavity10.mtx,2597,2597,76367,0.000319818240241,0.000940059518907,0.000012749440029,0.000009121279945,0.000011799040039,0.000014469120015,0.000032315519857,477565006.563841879367828,162472691.279746890068054,11979663392.850292205810547,16744799076.096172332763672,12944612399.735935211181641,10555859640.626392364501953,4726335849.696233749389648
cop20k_A.mtx,121192,121192,2624331,0.013129937872291,0.023408378772438,0.000259786240058,0.000208067199565,0.000113668479898,0.000285958401510,0.000709005445242,399747664.539735853672028,224221508.504471451044083,20203772142.927131652832031,25225802101.363674163818359,46175175428.471969604492188,18354634703.133625030517578,7402851466.407344818115234
PR02R.mtx,161070,161070,8185136,0.031257488206029,0.068374503552914,0.000912894718349,0.000384393601562,0.000352149757091,0.000693276791135,0.002562845447101,523723208.086902678012848,239420707.271846920251846,17932267183.675388336181641,42587264547.284606933593750,46486676961.619369506835938,23612894891.812149047851562,6387537734.091376304626465
webbase-1M.mtx,1000005,1000005,3105536,0.018317955695093,0.073654063791037,0.000433262722800,0.001508254089858,0.000665123196086,0.001733304315712,0.002757576317526,339070150.806398451328278,84327621.319325789809227,14335579022.046405792236328,4118054140.720537662506104,9338227920.106557846069336,3583370758.208465576171875,2252366311.867464065551758
mhd4800a.mtx,4800,4800,102252,0.000540933121229,0.001007174416445,0.000011150080045,0.000013040000031,0.000009796479953,0.000018677760090,0.000042065279995,378057826.327072978019714,203047254.438603878021240,18341034250.561355590820312,15682822048.917324066162109,20875253251.525470733642578,10949064503.037254333496094,4861586563.194068908691406
af_1_k101.mtx,503625,503625,16739943,0.062857775613666,0.109148720204830,0.001558494709898,0.000943447679747,0.000564415359404,0.001264895368367,0.004430556190200,532629188.245110511779785,306736404.578735589981079,21482194188.644870758056641,35486743694.130271911621094,59317815226.284942626953125,26468502326.173892974853516,7556587607.229409217834473
bcsstk17.mtx,10974,10974,428650,0.001760238704737,0.003453168636188,0.000030425599798,0.000029615999956,0.000030179839850,0.000044979199956,0.000133617920801,487036217.129401326179504,248264736.050193965435028,28176930140.760337829589844,28947190750.585685729980469,28406380028.782302856445312,19059921048.688156127929688,6416055532.524831771850586
olafu.mtx,16146,16146,1015156,0.004004334066994,0.007401192961261,0.000071796480042,0.000048933759972,0.000044684799868,0.000081409280101,0.000299230081146,507028625.991707146167755,274322262.725355088710785,28278712254.432880401611328,41491027894.898521423339844,45436300620.917755126953125,24939564598.524318695068359,6785119972.653203964233398
ML_Laplace.mtx,377002,377002,27689972,0.104776108711958,0.184194425940514,0.004102095980197,0.001010653444100,0.000898033282720,0.001729456628673,0.006398074179888,528555075.014725923538208,300660260.033521294593811,13500401811.012195587158203,54796176002.058914184570312,61668030646.136581420898438,32021585902.677265167236328,8655720837.699230194091797
dc1.mtx,116835,116835,766396,0.003344202879816,0.090473193973303,0.006856749430299,0.000307832962135,0.008253055382520,0.001272179197986,0.023471687734127,458343005.817936658859253,16941946.367587089538574,223544992.504298597574234,4979297828.828762054443359,185724186.856478154659271,1204855418.503121137619019,65303868.105375818908215
